target,gen,side,native,recorded,best,rec_pairs,best_pairs,n_native_res,n_rec,note
9nw9,opendde-abag,2,H,B,B,223,223,223,1,
9nzf,opendde-abag,1,H,B,B,228,228,228,1,
9nzf,opendde-abag,2,A,A,A,15,15,15,1,
9obn,opendde-abag,1,A,A,A,141,141,141,1,
9obn,opendde-abag,2,G,B,B,128,128,128,1,
9ppw,opendde-abag,1,B,A,A,200,200,200,1,
9ppw,opendde-abag,2,E,B,B,232,232,232,1,
9ppy,opendde-abag,1,B,A,A,199,199,199,1,
9ppy,opendde-abag,2,E,B,B,232,232,232,1,
9pso,opendde-abag,1,E,A,A,191,191,191,1,
9pso,opendde-abag,2,H,B,B,219,219,219,1,
9q1l,opendde-abag,1,E,C,C,214,214,214,1,
9q1l,opendde-abag,2,F,A,A,39,39,39,1,
9q6h,opendde-abag,1,A,A,A,585,585,585,1,
9q6h,opendde-abag,2,B,B,B,131,131,131,1,
9q6n,opendde-abag,1,A,A,A,584,584,584,1,
9q6n,opendde-abag,2,B,B,B,129,129,129,1,
9q6y,opendde-abag,1,A,A,A,585,585,585,1,
9q6y,opendde-abag,2,B,B,B,131,131,131,1,
9q6z,opendde-abag,1,A,A,A,585,585,585,1,
9q6z,opendde-abag,2,B,B,B,131,131,131,1,
9q7y,opendde-abag,1,C,C,C,106,106,106,1,
9q7y,opendde-abag,2,B,A,A,629,629,629,1,
9qqe,opendde-abag,1,A,A,A,268,268,268,1,
9qqe,opendde-abag,2,H,B,B,209,209,209,1,
9qqf,opendde-abag,1,H,B,B,190,190,190,1,
9qqf,opendde-abag,2,A,A,A,275,275,275,1,
9qrv,opendde-abag,1,D,A,A,91,91,91,1,
9qrv,opendde-abag,2,H,B,B,224,224,224,1,
9rig,opendde-abag,1,A,A,A,295,295,295,1,
9rig,opendde-abag,2,H,B,B,134,134,134,1,
9rih,opendde-abag,1,A,A,A,289,289,289,1,
9rih,opendde-abag,2,H,B,B,134,134,134,1,
9rn6,opendde-abag,1,A,A,A,210,210,210,1,
9rn6,opendde-abag,2,C,B,B,123,123,123,1,
9rye,opendde-abag,1,B,A,A,571,571,571,1,
9rye,opendde-abag,2,C,B,B,121,121,121,1,
9ryf,opendde-abag,1,B,A,A,571,571,571,1,
9ryf,opendde-abag,2,C,B,B,121,121,121,1,
9sat,opendde-abag,1,H,B,B,219,219,219,1,
9sat,opendde-abag,2,R,A,A,195,195,195,1,
9sbb,opendde-abag,1,H,B,B,217,217,217,1,
9sbb,opendde-abag,2,R,A,A,194,194,194,1,
9ssm,opendde-abag,1,H,B,B,221,221,221,1,
9ssm,opendde-abag,2,R,A,A,191,191,191,1,
9t3r,opendde-abag,1,L,C,C,108,108,108,1,
9t3r,opendde-abag,2,A,A,A,437,437,437,1,
9t3s,opendde-abag,1,H,B,B,118,118,118,1,
9t3s,opendde-abag,2,A,A,A,437,437,437,1,
9th6,opendde-abag,1,A,A,A,448,448,448,1,
9th6,opendde-abag,2,B,B,B,125,125,125,1,
9tmp,opendde-abag,1,A,A,A,103,103,103,1,
9tmp,opendde-abag,2,H,B,B,226,226,226,1,
9u5p,opendde-abag,1,A,A,A,180,180,180,1,
9u5p,opendde-abag,2,B,B,B,127,127,127,1,
9u5q,opendde-abag,1,A,A,A,179,179,179,1,
9u5q,opendde-abag,2,B,B,B,127,127,127,1,
9u5r,opendde-abag,1,O,A,A,180,180,180,1,
9u5r,opendde-abag,2,P,B,B,127,127,127,1,
9ua5,opendde-abag,1,C,A,A,326,326,326,1,
9ua5,opendde-abag,2,G,B,B,119,119,119,1,
9udq,opendde-abag,1,B,B,B,82,82,82,1,
9udq,opendde-abag,2,I,A,A,221,221,221,1,
9ue0,opendde-abag,1,A,B,B,223,223,223,1,
9ue0,opendde-abag,2,C,A,A,84,84,84,1,
9ugo,opendde-abag,1,A,C,C,215,215,215,1,
9ugo,opendde-abag,2,C,A,A,98,98,98,1,
9uk2,opendde-abag,1,B,A,A,229,229,229,1,
9uk2,opendde-abag,2,E,B,B,232,232,232,1,
9ull,opendde-abag,1,A,B,B,216,216,216,1,
9ull,opendde-abag,2,K,A,A,10,10,10,1,
9ulm,opendde-abag,1,A,B,B,214,214,214,1,
9ulm,opendde-abag,2,Y,A,A,11,11,11,1,
9ulp,opendde-abag,1,A,A,A,275,275,275,1,
9ulp,opendde-abag,2,C,B,B,119,119,119,1,
9uo0,opendde-abag,1,M,A,A,208,208,208,1,
9uo0,opendde-abag,2,3,B,B,123,123,123,1,
9uoc,opendde-abag,1,B,A,A,206,206,206,1,
9uoc,opendde-abag,2,A,B,B,123,123,123,1,
9uoi,opendde-abag,1,C,B,B,115,115,115,1,
9uoi,opendde-abag,2,B,A,A,207,207,207,1,
9v0x,opendde-abag,1,A,A,A,229,229,229,1,
9v0x,opendde-abag,2,E,B,B,232,232,232,1,
9v1h,opendde-abag,1,A,A,A,208,208,208,1,
9v1h,opendde-abag,2,E,B,B,228,228,228,1,
9ve0,opendde-abag,1,H,B,B,217,217,217,1,
9ve0,opendde-abag,2,A,A,A,313,313,313,1,
9vmn,opendde-abag,1,A,A,A,234,234,234,1,
9vmn,opendde-abag,2,S,B,B,230,230,230,1,
9vmo,opendde-abag,1,A,A,A,234,234,234,1,
9vmo,opendde-abag,2,S,B,B,230,230,230,1,
9vnp,opendde-abag,1,L,A,A,96,96,96,1,
9vnp,opendde-abag,2,A,C,C,216,216,216,1,
9vo2,opendde-abag,1,A,A,A,234,234,234,1,
9vo2,opendde-abag,2,S,B,B,230,230,230,1,
9w14,opendde-abag,1,G,A,A,186,186,186,1,
9w14,opendde-abag,2,C,B,B,119,119,119,1,
9wb3,opendde-abag,1,A,A,A,179,179,179,1,
9wb3,opendde-abag,2,B,B,B,127,127,127,1,
9wb4,opendde-abag,1,A,A,A,179,179,179,1,
9wb4,opendde-abag,2,B,B,B,127,127,127,1,
9wpm,opendde-abag,1,N,B,B,126,126,126,1,
9wpm,opendde-abag,2,B,A,A,328,328,328,1,
9wwh,opendde-abag,1,H,B,B,223,223,223,1,
9wwh,opendde-abag,2,D,A,A,130,130,130,1,
9x05,opendde-abag,1,A,A,A,146,146,146,1,
9x05,opendde-abag,2,D,B,B,220,220,220,1,
9x0j,opendde-abag,1,A,A,A,150,150,150,1,
9x0j,opendde-abag,2,F,B,B,219,219,219,1,
9x3z,opendde-abag,1,A,A,A,208,208,208,1,
9x3z,opendde-abag,2,S,B,B,228,228,228,1,
9xqb,opendde-abag,1,B,C,C,107,107,107,1,
9xqb,opendde-abag,2,C,A,A,222,222,222,1,
9xqc,opendde-abag,1,A,A,A,233,233,233,1,
9xqc,opendde-abag,2,E,B,B,231,231,231,1,
9xqn,opendde-abag,1,A,A,A,365,365,365,1,
9xqn,opendde-abag,2,C,B,B,121,121,121,1,
9xsx,opendde-abag,1,A,A,A,234,234,234,1,
9xsx,opendde-abag,2,B,B,B,226,226,226,1,
9xth,opendde-abag,1,B,B,B,220,220,220,1,
9xth,opendde-abag,2,A,A,A,233,233,233,1,
9y0a,opendde-abag,1,C,A,A,159,159,159,1,
9y0a,opendde-abag,2,A,B,B,225,225,225,1,
9y0e,opendde-abag,1,C,A,A,159,159,159,1,
9y0e,opendde-abag,2,A,B,B,222,222,222,1,
9yc5,opendde-abag,1,A,A,A,180,180,180,1,
9yc5,opendde-abag,2,H,B,B,214,214,214,1,
9yio,opendde-abag,1,B,A,A,83,83,83,1,
9yio,opendde-abag,2,D,B,B,222,222,222,1,
9ynx,opendde-abag,1,A,A,A,189,189,189,1,
9ynx,opendde-abag,2,F,B,B,229,229,229,1,
9yxd,opendde-abag,1,A,A,A,87,87,87,1,
9yxd,opendde-abag,2,D,B,B,216,216,216,1,
9zdu,opendde-abag,1,A,A,A,197,197,197,1,
9zdu,opendde-abag,2,H,B,B,230,230,230,1,
9zen,opendde-abag,1,C,A,A,111,111,111,1,
9zen,opendde-abag,2,L,B,B,119,119,119,1,
21av,protenix-v2,1,C,B,B,125,125,125,1,
21av,protenix-v2,2,H,A,A,321,321,321,1,
21du,protenix-v2,1,A,A,A,241,241,241,1,
21du,protenix-v2,2,N,B,B,126,126,126,1,
21tw,protenix-v2,1,A,B,B,224,224,224,1,
21tw,protenix-v2,2,B,A,A,139,139,139,1,
22ps,protenix-v2,1,D,B,B,119,119,119,1,
22ps,protenix-v2,2,F,A,A,164,164,164,1,
9ck4,protenix-v2,1,W,A,A,80,80,80,1,
9ck4,protenix-v2,2,A,B,B,119,119,119,1,
9d3j,protenix-v2,1,C,A,A,56,56,56,1,
9d3j,protenix-v2,2,A,B,B,180,180,180,1,
9d72,protenix-v2,1,L,C,C,213,213,213,1,
9d72,protenix-v2,2,A,A,A,266,266,266,1,
9d73,protenix-v2,1,A,A,A,273,273,273,1,
9d73,protenix-v2,2,H,B,B,214,214,214,1,
9d74,protenix-v2,1,A,A,A,273,273,273,1,
9d74,protenix-v2,2,L,C,C,211,211,211,1,
9dsg,protenix-v2,1,A,A,A,196,196,196,1,
9dsg,protenix-v2,2,H,B,B,248,248,248,1,
9fte,protenix-v2,1,A,A,A,255,255,255,1,
9fte,protenix-v2,2,B,B,B,107,107,107,1,
9gei,protenix-v2,1,A,A,A,174,174,174,1,
9gei,protenix-v2,2,B,B,B,226,226,226,1,
9gfr,protenix-v2,1,L,C,C,213,213,213,1,
9gfr,protenix-v2,2,E,A,A,85,85,85,1,
9gvn,protenix-v2,1,A,A,A,111,111,111,1,
9gvn,protenix-v2,2,D,C,C,219,219,219,1,
9hv9,protenix-v2,1,H,B,B,223,223,223,1,
9hv9,protenix-v2,2,A,C,A,6,7,7,1,
9i3p,protenix-v2,1,B,A,A,528,528,528,1,
9i3p,protenix-v2,2,C,B,B,452,452,452,1,
9i5n,protenix-v2,1,B,B,B,118,118,118,1,
9i5n,protenix-v2,2,C,A,A,143,143,143,1,
9iar,protenix-v2,1,B,A,A,558,558,558,1,
9iar,protenix-v2,2,D,B,B,114,114,114,1,
9ivj,protenix-v2,1,A,A,A,655,655,655,1,
9ivj,protenix-v2,2,H,B,B,126,126,126,1,
9j4c,protenix-v2,1,A,A,A,655,655,655,1,
9j4c,protenix-v2,2,H,B,B,227,227,227,1,
9j87,protenix-v2,1,B,A,A,210,210,210,1,
9j87,protenix-v2,2,E,B,B,230,230,230,1,
9jkr,protenix-v2,1,A,B,B,114,114,114,1,
9jkr,protenix-v2,2,I,A,A,110,110,110,1,
9jno,protenix-v2,1,A,A,A,233,233,233,1,
9jno,protenix-v2,2,D,B,B,220,220,220,1,
9k6j,protenix-v2,1,C,A,A,181,181,181,1,
9k6j,protenix-v2,2,A,B,B,213,213,213,1,
9kwy,protenix-v2,1,A,A,A,570,570,570,1,
9kwy,protenix-v2,2,C,B,B,119,119,119,1,
9l1l,protenix-v2,1,A,A,A,179,179,179,1,
9l1l,protenix-v2,2,C,B,B,218,218,218,1,
9l8z,protenix-v2,1,A,A,A,233,233,233,1,
9l8z,protenix-v2,2,C,B,B,125,125,125,1,
9l9o,protenix-v2,1,C,C,C,212,212,212,1,
9l9o,protenix-v2,2,A,A,A,396,396,396,1,
9l9y,protenix-v2,1,B,C,C,210,210,210,1,
9l9y,protenix-v2,2,D,A,A,147,147,147,1,
9lbw,protenix-v2,1,A,A,A,141,141,141,1,
9lbw,protenix-v2,2,L,C,C,109,109,109,1,
9ldx,protenix-v2,1,A,A,A,233,233,233,1,
9ldx,protenix-v2,2,S,B,B,232,232,232,1,
9le0,protenix-v2,1,A,A,A,233,233,233,1,
9le0,protenix-v2,2,S,B,B,232,232,232,1,
9lh2,protenix-v2,1,A,A,A,196,196,196,1,
9lh2,protenix-v2,2,B,B,B,132,132,132,1,
9lme,protenix-v2,1,A,A,A,219,219,219,1,
9lme,protenix-v2,2,F,B,B,117,117,117,1,
9loe,protenix-v2,1,A,A,A,318,318,318,1,
9loe,protenix-v2,2,B,B,B,230,230,230,1,
9lof,protenix-v2,1,A,A,A,318,318,318,1,
9lof,protenix-v2,2,B,B,B,226,226,226,1,
9log,protenix-v2,1,A,A,A,318,318,318,1,
9log,protenix-v2,2,B,B,B,224,224,224,1,
9loz,protenix-v2,1,A,A,A,194,194,194,1,
9loz,protenix-v2,2,B,B,B,117,117,117,1,
9lp1,protenix-v2,1,A,B,B,117,117,117,1,
9lp1,protenix-v2,2,C,A,A,194,194,194,1,
9lqw,protenix-v2,1,A,A,A,271,271,271,1,
9lqw,protenix-v2,2,C,B,B,129,129,129,1,
9lr1,protenix-v2,1,C,B,B,129,129,129,1,
9lr1,protenix-v2,2,R,A,A,297,297,297,1,
9lsy,protenix-v2,1,D,A,A,202,202,202,1,
9lsy,protenix-v2,2,E,B,B,117,117,117,1,
9lsz,protenix-v2,1,A,A,A,583,583,583,1,
9lsz,protenix-v2,2,H,B,B,120,120,120,1,
9lwc,protenix-v2,1,A,A,A,194,194,194,1,
9lwc,protenix-v2,2,N,B,B,91,91,91,1,
9lxp,protenix-v2,1,B,A,A,346,346,346,1,
9lxp,protenix-v2,2,E,C,C,207,207,207,1,
9ly5,protenix-v2,1,A,B,B,218,218,218,1,
9ly5,protenix-v2,2,C,A,A,181,181,181,1,
9ly6,protenix-v2,1,A,A,A,405,405,405,1,
9ly6,protenix-v2,2,B,B,B,213,213,213,1,
9lz0,protenix-v2,1,A,A,A,349,349,349,1,
9lz0,protenix-v2,2,H,B,B,118,118,118,1,
9lz1,protenix-v2,1,H,B,B,118,118,118,1,
9lz1,protenix-v2,2,A,A,A,349,349,349,1,
9m0j,protenix-v2,1,A,A,A,232,232,232,1,
9m0j,protenix-v2,2,N,B,B,128,128,128,1,
9m0x,protenix-v2,1,N,B,B,127,127,127,1,
9m0x,protenix-v2,2,A,A,A,233,233,233,1,
9m0z,protenix-v2,1,N,B,B,127,127,127,1,
9m0z,protenix-v2,2,A,A,A,235,235,235,1,
9m1p,protenix-v2,1,N,B,B,127,127,127,1,
9m1p,protenix-v2,2,A,A,A,235,235,235,1,
9m2o,protenix-v2,1,N,B,B,127,127,127,1,
9m2o,protenix-v2,2,A,A,A,232,232,232,1,
9m2s,protenix-v2,1,N,B,B,127,127,127,1,
9m2s,protenix-v2,2,A,A,A,235,235,235,1,
9m3q,protenix-v2,1,N,B,B,127,127,127,1,
9m3q,protenix-v2,2,A,A,A,235,235,235,1,
9m3s,protenix-v2,1,N,B,B,127,127,127,1,
9m3s,protenix-v2,2,A,A,A,234,234,234,1,
9m40,protenix-v2,1,A,A,A,237,237,237,1,
9m40,protenix-v2,2,N,B,B,128,128,128,1,
9m72,protenix-v2,1,C,A,A,149,149,149,1,
9m72,protenix-v2,2,A,B,B,120,120,120,1,
9m8k,protenix-v2,1,A,A,A,238,238,238,1,
9m8k,protenix-v2,2,N,B,B,232,232,232,1,
9m8l,protenix-v2,1,N,B,B,232,232,232,1,
9m8l,protenix-v2,2,B,A,A,339,339,339,1,
9ma0,protenix-v2,1,A,A,A,414,414,414,1,
9ma0,protenix-v2,2,B,B,B,124,124,124,1,
9mmj,protenix-v2,1,A,C,C,213,213,213,1,
9mmj,protenix-v2,2,D,A,A,19,19,19,1,
9mnb,protenix-v2,1,L,C,C,215,215,215,1,
9mnb,protenix-v2,2,A,A,A,219,219,219,1,
9mns,protenix-v2,1,L,C,C,211,211,211,1,
9mns,protenix-v2,2,E,A,A,160,160,160,1,
9mnt,protenix-v2,1,L,C,C,212,212,212,1,
9mnt,protenix-v2,2,E,A,A,169,169,169,1,
9mnu,protenix-v2,1,E,A,A,140,140,140,1,
9mnu,protenix-v2,2,H,B,B,226,226,227,1,
9msc,protenix-v2,1,L,C,C,208,208,208,1,
9msc,protenix-v2,2,E,A,A,230,230,230,1,
9mxu,protenix-v2,1,A,A,A,233,233,233,1,
9mxu,protenix-v2,2,N,B,B,126,126,126,1,
9mz6,protenix-v2,1,A,C,C,213,213,213,1,
9mz6,protenix-v2,2,D,A,A,19,19,19,1,
9mz7,protenix-v2,1,A,C,C,214,214,214,1,
9mz7,protenix-v2,2,D,A,A,15,15,15,1,
9mz8,protenix-v2,1,A,C,C,213,213,213,1,
9mz8,protenix-v2,2,D,A,A,15,15,16,1,
9mze,protenix-v2,1,A,A,A,228,228,228,1,
9mze,protenix-v2,2,N,B,B,128,128,128,1,
9mzf,protenix-v2,1,N,B,B,126,126,126,1,
9mzf,protenix-v2,2,A,A,A,232,232,232,1,
9n05,protenix-v2,1,A,A,A,227,227,227,1,
9n05,protenix-v2,2,N,B,B,128,128,128,1,
9n09,protenix-v2,1,A,A,A,227,227,227,1,
9n09,protenix-v2,2,N,B,B,128,128,128,1,
9n0e,protenix-v2,1,N,B,B,128,128,128,1,
9n0e,protenix-v2,2,A,A,A,228,228,228,1,
9n1p,protenix-v2,1,A,A,A,227,227,227,1,
9n1p,protenix-v2,2,N,B,B,128,128,128,1,
9n1q,protenix-v2,1,A,A,A,229,229,229,1,
9n1q,protenix-v2,2,N,B,B,128,128,128,1,
9n2i,protenix-v2,1,A,A,A,230,230,230,1,
9n2i,protenix-v2,2,N,B,B,128,128,128,1,
9n38,protenix-v2,1,A,A,A,245,245,245,1,
9n38,protenix-v2,2,H,B,B,119,119,119,1,
9n8i,protenix-v2,1,A,B,B,227,227,227,1,
9n8i,protenix-v2,2,E,A,A,181,181,181,1,
9n8n,protenix-v2,1,A,B,B,217,217,217,1,
9n8n,protenix-v2,2,I,A,A,308,308,308,1,
9ncd,protenix-v2,1,L,C,C,214,214,214,1,
9ncd,protenix-v2,2,A,A,A,91,91,91,1,
9ncy,protenix-v2,1,H,B,B,228,228,228,1,
9ncy,protenix-v2,2,A,A,A,65,65,65,1,
9nkz,protenix-v2,1,H,B,B,230,230,230,1,
9nkz,protenix-v2,2,A,A,A,15,15,15,1,
9nl0,protenix-v2,1,A,A,A,12,12,12,1,
9nl0,protenix-v2,2,L,C,C,215,215,215,1,
9nl1,protenix-v2,1,H,B,B,228,228,228,1,
9nl1,protenix-v2,2,A,A,A,13,13,13,1,
9np0,protenix-v2,1,A,A,A,304,304,304,1,
9np0,protenix-v2,2,B,B,B,124,124,124,1,
9nw4,protenix-v2,1,A,B,B,212,212,212,1,
9nw4,protenix-v2,2,C,A,A,9,9,9,1,
9nw7,protenix-v2,1,A,A,A,269,269,269,1,
9nw7,protenix-v2,2,H,B,B,223,223,223,1,
9nw8,protenix-v2,1,A,A,A,269,269,269,1,
9nw8,protenix-v2,2,H,B,B,223,223,223,1,
9nw9,protenix-v2,1,A,A,A,269,269,269,1,
9nw9,protenix-v2,2,H,B,B,223,223,223,1,
9nzf,protenix-v2,1,H,B,B,228,228,228,1,
9nzf,protenix-v2,2,A,A,A,15,15,15,1,
9obn,protenix-v2,1,A,A,A,141,141,141,1,
9obn,protenix-v2,2,G,B,B,128,128,128,1,
9ppw,protenix-v2,1,B,A,A,200,200,200,1,
9ppw,protenix-v2,2,E,B,B,232,232,232,1,
9ppy,protenix-v2,1,B,A,A,199,199,199,1,
9ppy,protenix-v2,2,E,B,B,232,232,232,1,
9pso,protenix-v2,1,E,A,A,191,191,191,1,
9pso,protenix-v2,2,H,B,B,219,219,219,1,
9q1l,protenix-v2,1,E,C,C,214,214,214,1,
9q1l,protenix-v2,2,F,A,A,39,39,39,1,
9q6h,protenix-v2,1,A,A,A,585,585,585,1,
9q6h,protenix-v2,2,B,B,B,131,131,131,1,
9q6n,protenix-v2,1,A,A,A,584,584,584,1,
9q6n,protenix-v2,2,B,B,B,129,129,129,1,
9q6y,protenix-v2,1,A,A,A,585,585,585,1,
9q6y,protenix-v2,2,B,B,B,131,131,131,1,
9q6z,protenix-v2,1,A,A,A,585,585,585,1,
9q6z,protenix-v2,2,B,B,B,131,131,131,1,
9q7y,protenix-v2,1,C,C,C,106,106,106,1,
9q7y,protenix-v2,2,B,A,A,629,629,629,1,
9qqe,protenix-v2,1,A,A,A,268,268,268,1,
9qqe,protenix-v2,2,H,B,B,209,209,209,1,
9qqf,protenix-v2,1,H,B,B,190,190,190,1,
9qqf,protenix-v2,2,A,A,A,275,275,275,1,
9qrv,protenix-v2,1,D,A,A,91,91,91,1,
9qrv,protenix-v2,2,H,B,B,224,224,224,1,
9rig,protenix-v2,1,A,A,A,295,295,295,1,
9rig,protenix-v2,2,H,B,B,134,134,134,1,
9rih,protenix-v2,1,A,A,A,289,289,289,1,
9rih,protenix-v2,2,H,B,B,134,134,134,1,
9rn6,protenix-v2,1,A,A,A,210,210,210,1,
9rn6,protenix-v2,2,C,B,B,123,123,123,1,
9rye,protenix-v2,1,B,A,A,571,571,571,1,
9rye,protenix-v2,2,C,B,B,121,121,121,1,
9ryf,protenix-v2,1,B,A,A,571,571,571,1,
9ryf,protenix-v2,2,C,B,B,121,121,121,1,
9sat,protenix-v2,1,H,B,B,219,219,219,1,
9sat,protenix-v2,2,R,A,A,195,195,195,1,
9sbb,protenix-v2,1,H,B,B,217,217,217,1,
9sbb,protenix-v2,2,R,A,A,194,194,194,1,
9ssm,protenix-v2,1,H,B,B,221,221,221,1,
9ssm,protenix-v2,2,R,A,A,191,191,191,1,
9t3r,protenix-v2,1,L,C,C,108,108,108,1,
9t3r,protenix-v2,2,A,A,A,437,437,437,1,
9t3s,protenix-v2,1,H,B,B,118,118,118,1,
9t3s,protenix-v2,2,A,A,A,437,437,437,1,
9th6,protenix-v2,1,A,A,A,448,448,448,1,
9th6,protenix-v2,2,B,B,B,125,125,125,1,
9tmp,protenix-v2,1,A,A,A,103,103,103,1,
9tmp,protenix-v2,2,H,B,B,226,226,226,1,
9u5p,protenix-v2,1,A,A,A,180,180,180,1,
9u5p,protenix-v2,2,B,B,B,127,127,127,1,
9u5q,protenix-v2,1,A,A,A,179,179,179,1,
9u5q,protenix-v2,2,B,B,B,127,127,127,1,
9u5r,protenix-v2,1,O,A,A,180,180,180,1,
9u5r,protenix-v2,2,P,B,B,127,127,127,1,
9ua5,protenix-v2,1,C,A,A,326,326,326,1,
9ua5,protenix-v2,2,G,B,B,119,119,119,1,
9udq,protenix-v2,1,B,B,B,82,82,82,1,
9udq,protenix-v2,2,I,A,A,221,221,221,1,
9ue0,protenix-v2,1,A,B,B,223,223,223,1,
9ue0,protenix-v2,2,C,A,A,84,84,84,1,
9ugo,protenix-v2,1,A,C,C,215,215,215,1,
9ugo,protenix-v2,2,C,A,A,98,98,98,1,
9uk2,protenix-v2,1,B,A,A,229,229,229,1,
9uk2,protenix-v2,2,E,B,B,232,232,232,1,
9ull,protenix-v2,1,A,B,B,216,216,216,1,
9ull,protenix-v2,2,K,A,A,10,10,10,1,
9ulm,protenix-v2,1,A,B,B,214,214,214,1,
9ulm,protenix-v2,2,Y,A,A,11,11,11,1,
9ulp,protenix-v2,1,A,A,A,275,275,275,1,
9ulp,protenix-v2,2,C,B,B,119,119,119,1,
9uo0,protenix-v2,1,M,A,A,208,208,208,1,
9uo0,protenix-v2,2,3,B,B,123,123,123,1,
9uoc,protenix-v2,1,B,A,A,206,206,206,1,
9uoc,protenix-v2,2,A,B,B,123,123,123,1,
9uoi,protenix-v2,1,C,B,B,115,115,115,1,
9uoi,protenix-v2,2,B,A,A,207,207,207,1,
9v0x,protenix-v2,1,A,A,A,229,229,229,1,
9v0x,protenix-v2,2,E,B,B,232,232,232,1,
9v1h,protenix-v2,1,A,A,A,208,208,208,1,
9v1h,protenix-v2,2,E,B,B,228,228,228,1,
9ve0,protenix-v2,1,H,B,B,217,217,217,1,
9ve0,protenix-v2,2,A,A,A,313,313,313,1,
9vmn,protenix-v2,1,A,A,A,234,234,234,1,
9vmn,protenix-v2,2,S,B,B,230,230,230,1,
9vmo,protenix-v2,1,A,A,A,234,234,234,1,
9vmo,protenix-v2,2,S,B,B,230,230,230,1,
9vnp,protenix-v2,1,L,A,A,96,96,96,1,
9vnp,protenix-v2,2,A,C,C,216,216,216,1,
9vo2,protenix-v2,1,A,A,A,234,234,234,1,
9vo2,protenix-v2,2,S,B,B,230,230,230,1,
9w14,protenix-v2,1,G,A,A,186,186,186,1,
9w14,protenix-v2,2,C,B,B,119,119,119,1,
9wb3,protenix-v2,1,A,A,A,179,179,179,1,
9wb3,protenix-v2,2,B,B,B,127,127,127,1,
9wb4,protenix-v2,1,A,A,A,179,179,179,1,
9wb4,protenix-v2,2,B,B,B,127,127,127,1,
9wpm,protenix-v2,1,N,B,B,126,126,126,1,
9wpm,protenix-v2,2,B,A,A,328,328,328,1,
9wwh,protenix-v2,1,H,B,B,223,223,223,1,
9wwh,protenix-v2,2,D,A,A,130,130,130,1,
9x05,protenix-v2,1,A,A,A,146,146,146,1,
9x05,protenix-v2,2,D,B,B,220,220,220,1,
9x0j,protenix-v2,1,A,A,A,150,150,150,1,
9x0j,protenix-v2,2,F,B,B,219,219,219,1,
9x3z,protenix-v2,1,A,A,A,208,208,208,1,
9x3z,protenix-v2,2,S,B,B,228,228,228,1,
9xqb,protenix-v2,1,B,C,C,107,107,107,1,
9xqb,protenix-v2,2,C,A,A,222,222,222,1,
9xqc,protenix-v2,1,A,A,A,233,233,233,1,
9xqc,protenix-v2,2,E,B,B,231,231,231,1,
9xqn,protenix-v2,1,A,A,A,365,365,365,1,
9xqn,protenix-v2,2,C,B,B,121,121,121,1,
9xsx,protenix-v2,1,A,A,A,234,234,234,1,
9xsx,protenix-v2,2,B,B,B,226,226,226,1,
9xth,protenix-v2,1,B,B,B,220,220,220,1,
9xth,protenix-v2,2,A,A,A,233,233,233,1,
9y0a,protenix-v2,1,C,A,A,159,159,159,1,
9y0a,protenix-v2,2,A,B,B,225,225,225,1,
9y0e,protenix-v2,1,C,A,A,159,159,159,1,
9y0e,protenix-v2,2,A,B,B,222,222,222,1,
9yc5,protenix-v2,1,A,A,A,180,180,180,1,
9yc5,protenix-v2,2,H,B,B,214,214,214,1,
9yio,protenix-v2,1,B,A,A,83,83,83,1,
9yio,protenix-v2,2,D,B,B,222,222,222,1,
9ynx,protenix-v2,1,A,A,A,189,189,189,1,
9ynx,protenix-v2,2,F,B,B,229,229,229,1,
9yxd,protenix-v2,1,A,A,A,87,87,87,1,
9yxd,protenix-v2,2,D,B,B,216,216,216,1,
9zdu,protenix-v2,1,A,A,A,197,197,197,1,
9zdu,protenix-v2,2,H,B,B,230,230,230,1,
9zen,protenix-v2,1,C,A,A,111,111,111,1,
9zen,protenix-v2,2,L,B,B,119,119,119,1,
